Name,Place_ID
BeReal Cafe,ChIJfVAeSAdHzDERfgZY8_SDhi4
Scoby Cafe @ Bukit Jalil,ChIJyehbWixLzDER8qFQR0OpuBo
Take Ten Cafe,ChIJnXdXlmS1zTER4Jh8acQt68o
好家婆 Best Ah Ma Cafe,ChIJkVeZY2Q3zDERC6mt2HL5DZE
Bakeroni Cafe,ChIJ6Su8BBhKzDERZEzOncBM20s
AiLOAF Cafe,ChIJ2W7wiOhRzDERKaQkvvwgt8I
Croutons Cafe By Gourmet Seductions,ChIJeYWJwq_KzTERJZV5UqBjk7Q
Day Dreamers Cafe,ChIJbyMEH_xJzDERt9AN8KID_4Q
Thong Kee Cafe Glenmarie,ChIJoV-_llxNzDER1IqZZxM_2o8
Twenty Fourty Six,ChIJ76Ys0kpPzDERlFy7DAzEo2M
In House Cafe,ChIJbeXRs1tLzDERiqoQ3XM7aMQ
KOFFEEKAW CAFE,ChIJZR9YksTBzTER6U1WUtsKWhs
Uncommon Cafe,ChIJtaurqcVHzDERMAlSl_su8JI
Mill Bakery Cafe,ChIJzSgQR_BIzDERdFrsZrjFeRk
Bubble Bee Cafe,ChIJ1-TCeNBJzDERBNLK7n-0fWg
Nicholes Cakery | Cafe,ChIJ0eeEprlPzDER8fp2uir98Z8
Top G Coffee & Cafe @ Publika,ChIJnQZsW8xJzDERCq7fVtyqbCY
Cafe Ame Soeur,ChIJtauttOhKzDER8PJO3mgMrds
Gajah Tiga Cafe,ChIJLUwwDGs2zDERpJZUutnC0og
Ruma Puteh cafe,ChIJk0MrPxtJzDERxLNTIROYnBA
Cafe 99,ChIJe4asiVJFzDERMacG4jyx7Lc
RUST KL CAFE & BAR,ChIJMRpyrTdJzDERrCIa_FD80v8
bröom Artisan Bakery & Kitchen,ChIJcXK5WfNLzDERFMhoYRF2160
Top G Coffee & Cafe @ Publika,ChIJnQZsW8xJzDERCq7fVtyqbCY
Cafe Ame Soeur,ChIJtauttOhKzDER8PJO3mgMrds
Ruma Puteh cafe,ChIJk0MrPxtJzDERxLNTIROYnBA
Cafe 99,ChIJe4asiVJFzDERMacG4jyx7Lc
RUST KL CAFE & BAR,ChIJMRpyrTdJzDERrCIa_FD80v8
bröom Artisan Bakery & Kitchen,ChIJcXK5WfNLzDERFMhoYRF2160
ANT Cafe & Bar,ChIJRVvwtLJLzDER8gbUnxloPWk
Milko Cafe',ChIJV85cf_dJzDERRSV9e6pF_yk
UNICORN 25 CAFE PUCHONG,ChIJ_f_sBFdLzDERvSdYwwZUbrE
Lil' Bird & The Big Bear Cafe,ChIJ9_8us-JNzDERx1XB0ykmpqE
The Komunal Cafe Bukit Rimau,ChIJVQMkIh6zzTERXNOaKxO1-1U
KSO Cafe,ChIJKQI3bkW1zTERP4GavuEkJD8
Fahrenheit 600 Cafe & Restaurant,ChIJ5e6wBV5IzDERI8CONM0gEyI
Kueh Cafe Subang Jaya,ChIJNXnri8BNzDERT8DjzkoqJX0
Yu.Mee cafe,ChIJicS8tQg3zDERzRQHZrqyiX0
Dplace Cafe @ 悦食坊 - Bandar Sunway,ChIJgRGH9DBNzDERCAKgrZsJPxs
BaoBao Cafe,ChIJgXnQs_hLzDERhJ__J1AHdz0
Keopi & Sul. - Cafe & Bistro,ChIJGZV-yH1JzDERIPWaDmZdi_Q
NOTA | Cafe · Restaurant,ChIJ50fhkqSzzTERqgqGpUsPnzk
半刻 Ban Ke Cafe @ Happy Mansion,ChIJJ3qglK9JzDERCzp4459AqIc
