Name,Place_ID
Yeah Man @ Wanderous Sheep Cafe,ChIJb2HsBjFPzDER-EUg50M8h7c
Friendship Cafe,ChIJc6cBUe5KzDER7OAkLYZVhL0
Uncle Lim's Cafe @Subang Parade,ChIJHWglZltMzDERjkWfTsqWuUU
å¥½å®¶å©† Best Ah Ma Cafe,ChIJkVeZY2Q3zDERC6mt2HL5DZE
Bakeroni Cafe,ChIJ6Su8BBhKzDERZEzOncBM20s
AiLOAF Cafe,ChIJ2W7wiOhRzDERKaQkvvwgt8I
Croutons Cafe By Gourmet Seductions,ChIJeYWJwq_KzTERJZV5UqBjk7Q
Day Dreamers Cafe,ChIJbyMEH_xJzDERt9AN8KID_4Q
Thong Kee Cafe Glenmarie,ChIJoV-_llxNzDER1IqZZxM_2o8
Twenty Fourty Six,ChIJ76Ys0kpPzDERlFy7DAzEo2M
In House Cafe,ChIJbeXRs1tLzDERiqoQ3XM7aMQ
KOFFEEKAW CAFE,ChIJZR9YksTBzTER6U1WUtsKWhs
Uncommon Cafe,ChIJtaurqcVHzDERMAlSl_su8JI
Mill Bakery Cafe,ChIJzSgQR_BIzDERdFrsZrjFeRk
Bubble Bee Cafe,ChIJ1-TCeNBJzDERBNLK7n-0fWg
Nicholes Cakery | Cafe,ChIJ0eeEprlPzDER8fp2uir98Z8
Top G Coffee & Cafe @ Publika,ChIJnQZsW8xJzDERCq7fVtyqbCY
Cafe Ame Soeur,ChIJtauttOhKzDER8PJO3mgMrds
Gajah Tiga Cafe,ChIJLUwwDGs2zDERpJZUutnC0og
Ruma Puteh cafe,ChIJk0MrPxtJzDERxLNTIROYnBA
Cafe 99,ChIJe4asiVJFzDERMacG4jyx7Lc
RUST KL CAFE & BAR,ChIJMRpyrTdJzDERrCIa_FD80v8
brÃ¶om Artisan Bakery & Kitchen,ChIJcXK5WfNLzDERFMhoYRF2160
å¥½å®¶å©† Best Ah Ma Cafe,ChIJkVeZY2Q3zDERC6mt2HL5DZE
Bakeroni Cafe,ChIJ6Su8BBhKzDERZEzOncBM20s
AiLOAF Cafe,ChIJ2W7wiOhRzDERKaQkvvwgt8I
Croutons Cafe By Gourmet Seductions,ChIJeYWJwq_KzTERJZV5UqBjk7Q
Day Dreamers Cafe,ChIJbyMEH_xJzDERt9AN8KID_4Q
Thong Kee Cafe Glenmarie,ChIJoV-_llxNzDER1IqZZxM_2o8
Twenty Fourty Six,ChIJ76Ys0kpPzDERlFy7DAzEo2M
In House Cafe,ChIJbeXRs1tLzDERiqoQ3XM7aMQ
KOFFEEKAW CAFE,ChIJZR9YksTBzTER6U1WUtsKWhs
Uncommon Cafe,ChIJtaurqcVHzDERMAlSl_su8JI
Mill Bakery Cafe,ChIJzSgQR_BIzDERdFrsZrjFeRk
Bubble Bee Cafe,ChIJ1-TCeNBJzDERBNLK7n-0fWg
Nicholes Cakery | Cafe,ChIJ0eeEprlPzDER8fp2uir98Z8
Top G Coffee & Cafe @ Publika,ChIJnQZsW8xJzDERCq7fVtyqbCY
Cafe Ame Soeur,ChIJtauttOhKzDER8PJO3mgMrds
Gajah Tiga Cafe,ChIJLUwwDGs2zDERpJZUutnC0og
Ruma Puteh cafe,ChIJk0MrPxtJzDERxLNTIROYnBA
Cafe 99,ChIJe4asiVJFzDERMacG4jyx7Lc
RUST KL CAFE & BAR,ChIJMRpyrTdJzDERrCIa_FD80v8
brÃ¶om Artisan Bakery & Kitchen,ChIJcXK5WfNLzDERFMhoYRF2160
